Product Name,msku,Opening Stock,Buffer Stock,TLCQ,BLR7,BLR8,BOM5,BOM7,CCU1,CCX1,DEL4,DEL5,DEX3,PNQ2,PNQ3,SDED,SDEE,XHJ9,last_updated
Chimmy Pillow ,CSTE_0001_ST_Bts_Pillow_Chimmy,192,0,192,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Tata Pillow ,CSTE_0002_ST_Bts_Pillow_Tata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Koya Pillow ,CSTE_0003_ST_Bts_Pillow_Koya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Mang Pillow ,CSTE_0004_ST_Bts_Pillow_Mang,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Shooky Pillow ,CSTE_0005_ST_Bts_Pillow_Shooky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Van Pillow ,CSTE_0006_ST_Bts_Pillow_Van,49,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Cooky Pillow ,CSTE_0007_ST_Bts_Pillow_Cooky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Rj Pillow ,CSTE_0008_ST_Bts_Pillow_Rj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Chimmy Long Pillow,CSTE_0009_ST_Bts_LongPillow_Chimmy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Tata Long Pillow,CSTE_0010_ST_Bts_LongPillow_Tata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Koya Long Pillow,CSTE_0011_ST_Bts_LongPillow_Koya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Cooky Long Pillow,CSTE_0012_ST_Bts_LongPillow_Cooky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
HBD Red MB,CSTE_0013_MB_HBD_Red,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
HBD Brown MB,CSTE_0014_MB_HBD_Brown,386,100,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
HBD Black MB,CSTE_0015_MB_HBD_Black,343,100,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
HBD Pink MB,CSTE_0016_MB_HBD_Pink,1,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,2025-06-22 00:40:32
HP Brown MB,CSTE_0017_MB_HP_Brown,4,0,-22,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2025-06-22 00:40:32
HP Green MB,CSTE_0018_MB_HP_Green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
HP Blue MB,CSTE_0019_MB_HP_Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
HP Black MB,CSTE_0020_MB_HP_Black,84,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:33
Beatles Black MB,CSTE_0021_MB_Beatles_Black,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Beatles Brown MB,CSTE_0022_MB_Beatles_Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
BeautyandBeast Black MB,CSTE_0023_MB_BeautyandBeast_Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
BeautyandBeast Brown MB,CSTE_0024_MB_BeautyandBeast_Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Castle Brown MB,CSTE_0025_MB_Castle_Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Castle Unicorn MB,CSTE_0026_MB_Castle_Unicorn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Friends Black MB,CSTE_0027_MB_Friends_Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
