sku,msku,panels,Status,Status.1,image
15694321,15694321,Rudrav Meesho,Inactive,block,
23654985,23654985,Rudrav Meesho,Inactive,"Combo,Paused",
28547595,28547595,Rudrav Meesho,Inactive,paused,
30258741,30258741,Rudrav Meesho,,,
30548764,30548764,Rudrav Meesho,Inactive,block,
31021652,31021652,Rudrav Meesho,Inactive,paused,
32056420,32056420,Rudrav Meesho,Inactive,block,
32165478,32165478,Rudrav Meesho,Inactive,paused,
32565434,32565434,Rudrav Meesho,,,
32645101,32645101,Rudrav Meesho,Inactive,block,
32654329,32654329,Rudrav Meesho,Inactive,paused,
32654531,32654531,Rudrav Meesho,Inactive,block,
32758462,32758462,Rudrav Meesho,Inactive,combo paused,
32856438,32856438,Rudrav Meesho,Inactive,block,
32856471,32856471,Rudrav Meesho,,,
34546820,34546820,Rudrav Meesho,Inactive,paused,
35426581,35426581,CSTE MEESHO,Inactive,combo paused,
36548700,36548700,CSTE MEESHO,,,
36925846,36925846,Rudrav Meesho,Inactive,paused,
38254120,38254120,Rudrav Meesho,Inactive,block,
38754923,38754923,Rudrav Meesho,Inactive,pause,
41256820,41256820,CSTE MEESHO,Inactive,block,
41256821,41256821,CSTE MEESHO,Inactive,block,
41256822,41256822,CSTE MEESHO,Inactive,block,
41256826,41256826,CSTE MEESHO,Inactive,block,
45623951,45623951,Rudrav Meesho,,,
45693215,45693215,Rudrav Meesho,,,
45696379,45696379,Rudrav Meesho,,,
47895126,47895126,Rudrav Meesho,Inactive,pause combo,
59678234,59678234,Rudrav Meesho,,,
74589556,74589556,Rudrav Meesho,Inactive,pause,
78564917,78564917,Rudrav Meesho,,,
320877943,320877943,Rudrav Meesho,Inactive,block,
967713377,967713377,CSTE MEESHO,Inactive,block,
1418796129,1418796129,CSTE MEESHO,Inactive,block,
_w-Yn7lE,_w-Yn7lE,CSTE MEESHO,,,
_zcafDUD,_zcafDUD,CSTE MEESHO,,,
-2cMV-WJ,-2cMV-WJ,CSTE MEESHO,,,
BTS-Mang-Chimmy,\,CSTE AMAZON,Active,Combo,#REF!
0B7-gLW3,0B7-gLW3,CSTE MEESHO,Inactive,block,
12,12CSTE_0046_MB_LetItGo_Black,CSTE MEESHO,,,
17*17_PillowCover_Maroon,17*17_PillowCover_Maroon_fba,CSTE AMAZON,Inactive,Deleted,
1773495636_5,1773495636_5,CSTE MEESHO,Inactive,pause,
1779653950_20,1779653950_20,Rudrav Meesho,Inactive,pause,
FBA_happy_birthday,18-Musical box_04,CSTE AMAZON,Inactive,Deleted,
1ky9uhEw,1ky9uhEw,CSTE MEESHO,,,
1qod_Ts_,1qod_Ts_,CSTE MEESHO,Inactive,pause,
1UX4NDkZ,1UX4NDkZ,CSTE MEESHO,,,
TATA_Multicolor_Pen,21-KS63-Q1QL,CSTE AMAZON,Inactive,Deleted,
dalimask_fba,28-VZ8N-OA4A,CSTE AMAZON,Inactive,Deleted,
2brFPTYz,2brFPTYz,CSTE MEESHO,,,
2NEUb1XM,2NEUb1XM,CSTE MEESHO,,,
2YAr2M-5,2YAr2M-5,CSTE MEESHO,Inactive,pause,
Chimmy_Pen,3B-GIJ4-ICN8,CSTE AMAZON,Inactive,Deleted,
